entity_id	canonical_name	fallback_file	publisher	source_page_url	live_image_url	observed_at	rights_note
C02	Megabangna	C02-megabangna.jpg	SF Development	https://www.mega-bangna.com/en/	https://www.mega-bangna.com/public/uploads/meetexplore/a273230ecf4eccda7d01f99233c21285.jpg	2026-08-03	Publicly published on the place's official website; keep visible source credit and recheck before deployment.
C03	Seacon Square Srinakarin	C03-seacon-square.jpg	Seacon Development	https://seaconsquare.com/	https://seaconsquare.com/hero-banner.jpg	2026-08-03	Publicly published on the place's official website; keep visible source credit and recheck before deployment.
C04	Paradise Park	C04-paradise-park.jpg	Paradise Park / MBK	https://www.paradisepark.co.th/	https://i.ytimg.com/vi/MCm1eayYwCg/maxresdefault.jpg	2026-08-03	Thumbnail of an official video embedded by the place website; keep visible source credit and recheck before deployment.
C05	Dadfa Lasalle	C05-dadfa-lasalle.jpg	Mspace / Wison Tungthunya	https://mspace.co.th/projects/dadfa/	https://mspace.co.th/wp-content/uploads/2019/09/12_CREDIT-WISON-TUNGTHUNYA-1024x683.jpg	2026-08-03	Publicly published project photograph; preserve photographer credit and source link.
C06	Little Walk Bang Na	C06-little-walk-bangna.jpg	MallBangkok.com	https://www.mallbangkok.com/little-walk-bangna-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B9%80%E0%B8%95%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B8%A7%E0%B8%AD%E0%B8%A5%E0%B9%8C%E0%B8%84-%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2/	https://www.mallbangkok.com/wp-content/uploads/2023/04/littlewalk-bangna.jpg	2026-08-03	Public feature image; keep visible publisher credit and source link, and replace with an official asset when available.
C07	La Salle's Avenue	C07-la-salles-avenue.jpg	GuruGuru Bangna	https://gurugurubangna.com/lasalle-avenue-%E0%B8%A5%E0%B8%B2%E0%B8%8B%E0%B8%B2%E0%B8%A5-%E0%B8%AD%E0%B9%80%E0%B8%A7%E0%B8%99%E0%B8%B4%E0%B8%A7/	https://gurugurubangna.com/wp-content/uploads/2019/05/LasalleAvenue001.jpg	2026-08-03	Public feature image; keep visible publisher credit and source link, and replace with an official asset when available.
C08	The Bangkok Mall	C08-the-bangkok-mall.jpg	BOIFFILS Architectures / Diorama	https://www.boiffils.com/bangkok-mall	https://images.squarespace-cdn.com/content/v1/5672507d7086d73aae8811e4/57efedee-3201-4d9e-9602-b7d1d6cc9079/BOIFFILS-The+Mall+Group-Bangkok+Mall-Rendering-01.jpg?format=1000w	2026-08-03	Publicly published project rendering; preserve architect and rendering credit.
C09	JAS Urban Srinakarin	C09-jas-urban-srinakarin.jpg	JAS Asset	https://www.jasasset.co.th/en/our-assets/33/community-malls	https://www.jasasset.co.th/storage/our-assets/the-jas/image-01.jpg	2026-08-03	Publicly published on the operator's official website; keep visible source credit and recheck before deployment.
C10	Design Village Bangna	C10-design-village-bangna.jpg	Boonthavorn	https://designvillage.boonthavorn.com/bangna/	https://designvillage.boonthavorn.com/wp-content/uploads/2023/07/DV_bangna.jpg	2026-08-03	Publicly published official rendering; label it as a rendering and keep visible source credit.
C11	Save One Go Night Market	C11-save-one-go-night-market.jpg	Sale Here	https://salehere.co.th/articles/savone-go-bangna-food-market	https://img.salehere.co.th/p/1200x0/2026/02/01/pmjw7xn1pgal.jpg	2026-08-03	Public feature image; keep visible publisher credit and source link, and replace with an official asset when available.
C12	Chic Republic Bangna	C12-chic-republic-bangna.jpg	Chic Republic	https://www.chicrepublicthai.com/en/stores	https://cms-chi-sage.vercel.app/api/media/file/634-cover.jpg	2026-08-03	Publicly published on the place's official website; keep visible source credit and recheck before deployment.
